ctry_code,ctry_name,ctry_name_long,region_code,subregion_name,eff_date,end_date,timestamp
LBR,Liberia,Liberia,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037EA
LBY,Libyan Arab J.,Libyan Arab Jamahiriya,EM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037EB
LCA,Saint Lucia,Saint Lucia,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037EC
LIE,Liechtenstein,Liechtenstein,EU,NULL,1976-12-14 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037ED
LKA,Sri Lanka,Sri Lanka,SE,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037EE
LSO,Lesotho,Lesotho,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037EF
LTU,Lithuania,Lithuania,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037F0
LUX,Luxembourg,Luxembourg,EU,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037F1
LVA,Latvia,Latvia,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037F2
MAC,Macao,Macao,WP,OTHERS,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038C4
MAR,Morocco,Morocco,EM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037F4
MCO,Monaco,Monaco,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037F5
MDA,Republic of Moldova,Republic of Moldova,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037F6
MDG,Madagascar,Madagascar,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037F7
MDV,Maldives,Maldives,SE,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037F8
MEX,Mexico,Mexico,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037F9
MHL,Marshall Islands,Marshall Islands,WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038B0
MKD,Form. Yug. Rep. Mac.,The Former Yugoslav Republic of Macedonia,EU,NULL,1993-04-22 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037FB
MLD,Moldova,Republic of Moldova,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037FC
MLI,Mali,Mali,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037FD
MLT,Malta,Malta,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037FE
MMR,Myanmar,Myanmar,SE,NULL,1989-07-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037FF
MNE,Republic of Montenegro,Republic of Montenegro,EU,NULL,2005-08-29 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003801
MNG,Mongolia,Mongolia,WP,OTHERS,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038C5
MNP,C.N. Mariana Is.,Commonwealth of the Northern Mariana Islands,WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038B1
MOZ,Mozambique,Mozambique,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003804
MRT,Mauritania,Mauritania,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003805
MSR,Montserrat,Montserrat,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003806
MTQ,Martinique,Martinique,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003807
MUS,Mauritius,Mauritius,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003808
MWI,Malawi,Malawi,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x0000000000003809
MYS,Malaysia,Malaysia,WP,OTHERS,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038C6
